"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","109","3.7","0","7.7","14.7","7.6","21.8","-0.8","1.25","","","","","","","","",""
"0-5","25","0","0","2","12","0","26.7","-0.42","1.19","","","","","","","","",""
" 6-11","17","5.9","0","20","29.4","4.8","54","-1.2","1.6","","","","","","","","",""
" 12-23","24","0","0","2.1","8.3","0","21.5","-0.82","1.07","","","","","","","","",""
" 24-35","16","6.3","0","21.2","18.8","0","41","-0.74","1.29","","","","","","","","",""
" 36-47","12","8.3","0","28.1","8.3","0","28.1","-0.95","1.16","","","","","","","","",""
" 48-60","15","6.7","0","22.6","13.3","0","33.9","-0.89","1.18","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","109","9.2","3.3","15.1","22.9","14.6","31.3","-1.13","1.34","","","","","","","","",""
"0-5","25","0","0","2","4","0","13.7","-0.35","1.15","","","","","","","","",""
" 6-11","17","11.8","0","30","17.6","0","38.7","-1.38","1.36","","","","","","","","",""
" 12-23","24","12.5","0","27.8","37.5","16","59","-1.37","1.35","","","","","","","","",""
" 24-35","16","12.5","0","31.8","31.3","5.4","57.1","-1.21","1.45","","","","","","","","",""
" 36-47","12","8.3","0","28.1","41.7","9.6","73.7","-1.65","1.2","","","","","","","","",""
" 48-60","15","13.3","0","33.9","13.3","0","33.9","-1.27","1.27","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","109","1.8","0","4.8","10.1","4","16.2","12.8","6.1","19.6","1.8","0","4.8","0.9","0","3.2","-0.22","1.23"
"0-5","25","0","0","2","8","0","20.6","12","0","26.7","0","0","2","0","0","2","-0.17","1.12"
" 6-11","17","5.9","0","20","11.8","0","30","17.6","0","38.7","0","0","2.9","0","0","2.9","-0.56","1.45"
" 12-23","24","0","0","2.1","16.7","0","33.7","12.5","0","27.8","8.3","0","21.5","4.2","0","14.2","-0.22","1.53"
" 24-35","16","0","0","3.1","6.3","0","21.2","6.3","0","21.2","0","0","3.1","0","0","3.1","-0.16","0.94"
" 36-47","12","8.3","0","28.1","8.3","0","28.1","25","0","53.7","0","0","4.2","0","0","4.2","0","1.31"
" 48-60","15","0","0","3.3","6.7","0","22.6","6.7","0","22.6","0","0","3.3","0","0","3.3","-0.18","0.91"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","109","1.8","0","4.8","9.2","3.3","15.1","15.6","8.3","22.9","3.7","0","7.7","1.8","0","4.8","-0.15","1.28"
"0-5","25","0","0","2","12","0","26.7","8","0","20.6","0","0","2","0","0","2","-0.3","1.14"
" 6-11","17","5.9","0","20","11.8","0","30","23.5","0.4","46.6","0","0","2.9","0","0","2.9","-0.56","1.48"
" 12-23","24","0","0","2.1","12.5","0","27.8","16.7","0","33.7","12.5","0","27.8","8.3","0","21.5","0","1.68"
" 24-35","16","0","0","3.1","0","0","3.1","12.5","0","31.8","0","0","3.1","0","0","3.1","0.03","0.81"
" 36-47","12","8.3","0","28.1","8.3","0","28.1","25","0","53.7","8.3","0","28.1","0","0","4.2","0.2","1.36"
" 48-60","15","0","0","3.3","6.7","0","22.6","13.3","0","33.9","0","0","3.3","0","0","3.3","-0.11","0.83"
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","53","1.9","0","6.5","15.1","4.5","25.7","-0.78","1.19","","","","","","","","",""
" 0-5","13","0","0","3.8","15.4","0","38.8","-0.38","1.3","","","","","","","","",""
" 6-11","9","0","0","5.6","22.2","0","54.9","-0.9","1.17","","","","","","","","",""
" 12-23","7","0","0","7.1","14.3","0","47.4","-1.43","0.69","","","","","","","","",""
" 24-35","10","10","0","33.6","30","0","63.4","-0.89","1.59","","","","","","","","",""
" 36-47","7","0","0","7.1","0","0","7.1","-0.94","1.04","","","","","","","","",""
" 48-60","7","0","0","7.1","0","0","7.1","-0.39","0.81","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","53","11.3","1.8","20.8","20.8","8.9","32.6","-1.12","1.37","","","","","","","","",""
" 0-5","13","0","0","3.8","7.7","0","26","-0.36","1.33","","","","","","","","",""
" 6-11","9","11.1","0","37.2","11.1","0","37.2","-1.27","1.02","","","","","","","","",""
" 12-23","7","28.6","0","69.2","28.6","0","69.2","-1.61","1.26","","","","","","","","",""
" 24-35","10","20","0","49.8","40","4.6","75.4","-1.33","1.75","","","","","","","","",""
" 36-47","7","14.3","0","47.4","42.9","0","86.7","-1.98","1.28","","","","","","","","",""
" 48-60","7","0","0","7.1","0","0","7.1","-0.72","0.99","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","53","0","0","0.9","5.7","0","12.8","13.2","3.1","23.3","0","0","0.9","0","0","0.9","-0.19","1.09"
" 0-5","13","0","0","3.8","7.7","0","26","7.7","0","26","0","0","3.8","0","0","3.8","-0.11","1.13"
" 6-11","9","0","0","5.6","0","0","5.6","22.2","0","54.9","0","0","5.6","0","0","5.6","-0.29","1.31"
" 12-23","7","0","0","7.1","14.3","0","47.4","0","0","7.1","0","0","7.1","0","0","7.1","-0.88","1"
" 24-35","10","0","0","5","10","0","33.6","10","0","33.6","0","0","5","0","0","5","-0.27","1.07"
" 36-47","7","0","0","7.1","0","0","7.1","42.9","0","86.7","0","0","7.1","0","0","7.1","0.31","1.09"
" 48-60","7","0","0","7.1","0","0","7.1","0","0","7.1","0","0","7.1","0","0","7.1","0.07","0.74"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","53","0","0","0.9","3.8","0","9.8","17","5.9","28","1.9","0","6.5","0","0","0.9","-0.1","1.08"
" 0-5","13","0","0","3.8","7.7","0","26","7.7","0","26","0","0","3.8","0","0","3.8","-0.24","1.14"
" 6-11","9","0","0","5.6","0","0","5.6","33.3","0","69.7","0","0","5.6","0","0","5.6","-0.22","1.3"
" 12-23","7","0","0","7.1","14.3","0","47.4","0","0","7.1","0","0","7.1","0","0","7.1","-0.65","1.19"
" 24-35","10","0","0","5","0","0","5","10","0","33.6","0","0","5","0","0","5","-0.05","0.84"
" 36-47","7","0","0","7.1","0","0","7.1","42.9","0","86.7","14.3","0","47.4","0","0","7.1","0.58","1.12"
" 48-60","7","0","0","7.1","0","0","7.1","14.3","0","47.4","0","0","7.1","0","0","7.1","0.12","0.73"
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","56","5.4","0","12.1","14.3","4.2","24.3","-0.82","1.3","","","","","","","","",""
" 0-5","12","0","0","4.2","8.3","0","28.1","-0.47","1.1","","","","","","","","",""
" 6-11","8","12.5","0","41.7","37.5","0","77.3","-1.55","2.01","","","","","","","","",""
" 12-23","17","0","0","2.9","5.9","0","20","-0.56","1.1","","","","","","","","",""
" 24-35","6","0","0","8.3","0","0","8.3","-0.49","0.62","","","","","","","","",""
" 36-47","5","20","0","65.1","20","0","65.1","-0.97","1.46","","","","","","","","",""
" 48-60","8","12.5","0","41.7","25","0","61.3","-1.33","1.33","","","","","","","","",""
"","Length","/height","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","Mean","SD","","","","","","","","",""
" 0-60","56","7.1","0","14.8","25","12.8","37.2","-1.14","1.32","","","","","","","","",""
" 0-5","12","0","0","4.2","0","0","4.2","-0.34","0.97","","","","","","","","",""
" 6-11","8","12.5","0","41.7","25","0","61.3","-1.51","1.73","","","","","","","","",""
" 12-23","17","5.9","0","20","41.2","14.8","67.5","-1.27","1.41","","","","","","","","",""
" 24-35","6","0","0","8.3","16.7","0","54.8","-1.01","0.87","","","","","","","","",""
" 36-47","5","0","0","10","40","0","92.9","-1.19","1.04","","","","","","","","",""
" 48-60","8","25","0","61.3","25","0","61.3","-1.74","1.35","","","","","","","","",""
"","Weight","-for-","length","/height","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","56","3.6","0","9.3","14.3","4.2","24.3","12.5","2.9","22.1","3.6","0","9.3","1.8","0","6.1","-0.25","1.36"
" 0-5","12","0","0","4.2","8.3","0","28.1","16.7","0","41.9","0","0","4.2","0","0","4.2","-0.23","1.15"
" 6-11","8","12.5","0","41.7","25","0","61.3","12.5","0","41.7","0","0","6.3","0","0","6.3","-0.87","1.62"
" 12-23","17","0","0","2.9","17.6","0","38.7","17.6","0","38.7","11.8","0","30","5.9","0","20","0.05","1.65"
" 24-35","6","0","0","8.3","0","0","8.3","0","0","8.3","0","0","8.3","0","0","8.3","0.04","0.74"
" 36-47","5","20","0","65.1","20","0","65.1","0","0","10","0","0","10","0","0","10","-0.42","1.59"
" 48-60","8","0","0","6.3","12.5","0","41.7","12.5","0","41.7","0","0","6.3","0","0","6.3","-0.39","1.04"
"","BMI","-for-","age","","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
" 0-60","56","3.6","0","9.3","14.3","4.2","24.3","14.3","4.2","24.3","5.4","0","12.1","3.6","0","9.3","-0.19","1.45"
" 0-5","12","0","0","4.2","16.7","0","41.9","8.3","0","28.1","0","0","4.2","0","0","4.2","-0.37","1.18"
" 6-11","8","12.5","0","41.7","25","0","61.3","12.5","0","41.7","0","0","6.3","0","0","6.3","-0.94","1.67"
" 12-23","17","0","0","2.9","11.8","0","30","23.5","0.4","46.6","17.6","0","38.7","11.8","0","30","0.27","1.81"
" 24-35","6","0","0","8.3","0","0","8.3","16.7","0","54.8","0","0","8.3","0","0","8.3","0.16","0.81"
" 36-47","5","20","0","65.1","20","0","65.1","0","0","10","0","0","10","0","0","10","-0.34","1.6"
" 48-60","8","0","0","6.3","12.5","0","41.7","12.5","0","41.7","0","0","6.3","0","0","6.3","-0.32","0.9"
"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Head ","circumference","-for-","age","","","","","","","","","","","","","",""
" Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
