"","Set 1:","Sexes","combined","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","873","4.9","3.4","6.4","16","13.5","18.5","2.9","1.7","4","0","0","0.1","0","0","0.1","-1.12","1.21"
"5","278","9.4","5.7","13","14.7","10.4","19.1","5","2.3","7.8","0","0","0.2","0","0","0.2","-1.34","1.37"
"6","273","5.5","2.6","8.4","21.6","16.5","26.7","4","1.5","6.5","0","0","0.2","0","0","0.2","-1.1","1.43"
"7","161","0","0","0.3","9.3","4.5","14.1","0","0","0.3","0","0","0.3","0","0","0.3","-0.81","0.6"
"8","84","2.4","0","6.2","4.8","0","9.9","0","0","0.6","0","0","0.6","0","0","0.6","-0.84","0.76"
"9","62","0","0","0.8","33.9","21.3","46.5","0","0","0.8","0","0","0.8","0","0","0.8","-1.41","0.89"
"10","15","0","0","3.3","0","0","3.3","0","0","3.3","0","0","3.3","0","0","3.3","-1.13","0.04"
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","1775","5.9","4.8","7","19.6","17.7","21.5","2.7","1.9","3.5","0.2","0","0.5","0","0","0","-1.12","1.19"
"5","278","24.8","19.6","30.1","45","38.9","51","0","0","0.2","0","0","0.2","0","0","0.2","-2.01","1.26"
"6","276","6.9","3.7","10.1","29.7","24.1","35.3","4","1.5","6.5","0","0","0.2","0","0","0.2","-1.41","1.38"
"7","161","0","0","0.3","2.5","0","5.2","3.1","0.1","6.1","0","0","0.3","0","0","0.3","-0.79","0.75"
"8","84","2.4","0","6.2","2.4","0","6.2","0","0","0.6","0","0","0.6","0","0","0.6","-1.08","0.57"
"9","62","0","0","0.8","32.3","19.8","44.7","0","0","0.8","0","0","0.8","0","0","0.8","-1.83","0.35"
"10","199","0","0","0.3","12.1","7.3","16.8","0","0","0.3","0","0","0.3","0","0","0.3","-1.09","0.65"
"11","204","0","0","0.2","7.8","3.9","11.8","15.7","10.5","20.9","2","0","4.1","0","0","0.2","-0.13","1.27"
"12","133","0","0","0.4","5.3","1.1","9.4","0","0","0.4","0","0","0.4","0","0","0.4","-0.64","0.61"
"13","97","0","0","0.5","0","0","0.5","0","0","0.5","0","0","0.5","0","0","0.5","-0.18","0.56"
"14","41","0","0","1.2","2.4","0","8.4","0","0","1.2","0","0","1.2","0","0","1.2","-1.03","0.89"
"15","88","11.4","4.2","18.6","55.7","44.7","66.6","0","0","0.6","0","0","0.6","0","0","0.6","-1.63","1.36"
"16","64","7.8","0.5","15.2","28.1","16.3","39.9","0","0","0.8","0","0","0.8","0","0","0.8","-1.52","0.99"
"17","74","0","0","0.7","0","0","0.7","0","0","0.7","0","0","0.7","0","0","0.7","-0.8","0.46"
"18","14","0","0","3.6","0","0","3.6","0","0","3.6","0","0","3.6","0","0","3.6","-1.16","0.35"
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","1762","0.7","0.3","1.2","4.1","3.1","5","22.6","20.7","24.6","9.1","7.7","10.5","2.3","1.6","3.1","0.13","1.3"
"5","268","2.6","0.5","4.7","6.3","3.2","9.4","29.5","23.8","35.1","7.5","4.1","10.8","0","0","0.2","0.17","1.26"
"6","273","2.2","0.3","4.1","6.6","3.5","9.7","8.8","5.2","12.3","1.8","0.1","3.6","0","0","0.2","-0.32","1.21"
"7","161","0","0","0.3","0","0","0.3","3.1","0.1","6.1","0","0","0.3","0","0","0.3","-0.48","0.73"
"8","84","0","0","0.6","0","0","0.6","4.8","0","9.9","0","0","0.6","0","0","0.6","-0.25","0.76"
"9","62","0","0","0.8","0","0","0.8","11.3","2.6","20","0","0","0.8","0","0","0.8","-0.37","0.98"
"10","199","0","0","0.3","0","0","0.3","30.7","24","37.3","22.6","16.5","28.7","0","0","0.3","0.49","1.17"
"11","204","0","0","0.2","9.3","5.1","13.5","31.9","25.2","38.5","2.9","0.4","5.5","0","0","0.2","0.01","1.26"
"12","133","0","0","0.4","0","0","0.4","34.6","26.1","43","20.3","13.1","27.5","12","6.1","17.9","0.9","1.58"
"13","97","0","0","0.5","0","0","0.5","56.7","46.3","67.1","30.9","21.2","40.6","25.8","16.6","35","1.58","1.26"
"14","41","0","0","1.2","0","0","1.2","0","0","1.2","0","0","1.2","0","0","1.2","0.02","0.26"
"15","88","0","0","0.6","15.9","7.7","24.1","0","0","0.6","0","0","0.6","0","0","0.6","-0.67","1.14"
"16","64","0","0","0.8","6.3","0","13","0","0","0.8","0","0","0.8","0","0","0.8","-0.4","0.79"
"17","74","0","0","0.7","0","0","0.7","52.7","40.7","64.8","31.1","19.9","42.3","0","0","0.7","0.98","1.11"
"18","14","0","0","3.6","0","0","3.6","100","96.4","100","28.6","1.3","55.8","0","0","3.6","1.99","0.08"
"19","0", , , , , , , , , , , , , , , , , 
"","Set 2:","Males","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","751","3.7","2.3","5.1","16.5","13.8","19.2","3.3","2","4.7","0","0","0.1","0","0","0.1","-1.15","1.19"
"5","230","4.8","1.8","7.8","11.3","7","15.6","6.1","2.8","9.4","0","0","0.2","0","0","0.2","-1.22","1.32"
"6","209","7.2","3.4","10.9","27.8","21.4","34.1","5.3","2","8.5","0","0","0.2","0","0","0.2","-1.32","1.52"
"7","151","0","0","0.3","9.9","4.8","15","0","0","0.3","0","0","0.3","0","0","0.3","-0.87","0.55"
"8","84","2.4","0","6.2","4.8","0","9.9","0","0","0.6","0","0","0.6","0","0","0.6","-0.84","0.76"
"9","62","0","0","0.8","33.9","21.3","46.5","0","0","0.8","0","0","0.8","0","0","0.8","-1.41","0.89"
"10","15","0","0","3.3","0","0","3.3","0","0","3.3","0","0","3.3","0","0","3.3","-1.13","0.04"
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","1084","6.8","5.3","8.4","22.5","20","25","1.6","0.8","2.4","0","0","0","0","0","0","-1.3","1.17"
"5","230","23.5","17.8","29.2","47.8","41.2","54.5","0","0","0.2","0","0","0.2","0","0","0.2","-2","1.27"
"6","212","8.5","4.5","12.5","38.2","31.4","45","5.2","2","8.4","0","0","0.2","0","0","0.2","-1.54","1.49"
"7","151","0","0","0.3","2.6","0","5.5","3.3","0.1","6.5","0","0","0.3","0","0","0.3","-0.78","0.75"
"8","84","2.4","0","6.2","2.4","0","6.2","0","0","0.6","0","0","0.6","0","0","0.6","-1.08","0.57"
"9","62","0","0","0.8","32.3","19.8","44.7","0","0","0.8","0","0","0.8","0","0","0.8","-1.83","0.35"
"10","116","0","0","0.4","0","0","0.4","0","0","0.4","0","0","0.4","0","0","0.4","-0.91","0.27"
"11","98","0","0","0.5","11.2","4.5","18","1","0","3.5","0","0","0.5","0","0","0.5","-0.55","1.16"
"12","27","0","0","1.9","25.9","7.5","44.3","0","0","1.9","0","0","1.9","0","0","1.9","-0.86","1.1"
"13","9","0","0","5.6","0","0","5.6","0","0","5.6","0","0","5.6","0","0","5.6","0.3","0.05"
"14","20","0","0","2.5","5","0","17.1","0","0","2.5","0","0","2.5","0","0","2.5","-1.93","0.04"
"15","8","0","0","6.3","100","93.8","100","0","0","6.3","0","0","6.3","0","0","6.3","-2.07","0.04"
"16","29","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","-0.89","0.86"
"17","29","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","-0.8","0.61"
"18","9","0","0","5.6","0","0","5.6","0","0","5.6","0","0","5.6","0","0","5.6","-1.4","0.13"
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","1071","1.2","0.5","1.9","2.1","1.2","3","20.6","18.2","23.1","6.6","5.1","8.2","0","0","0","0","1.14"
"5","220","3.2","0.6","5.7","3.2","0.6","5.7","35.9","29.3","42.5","9.1","5.1","13.1","0","0","0.2","0.36","1.24"
"6","209","2.9","0.4","5.4","7.2","3.4","10.9","9.6","5.3","13.8","2.4","0.1","4.7","0","0","0.2","-0.51","1.25"
"7","151","0","0","0.3","0","0","0.3","3.3","0.1","6.5","0","0","0.3","0","0","0.3","-0.57","0.66"
"8","84","0","0","0.6","0","0","0.6","4.8","0","9.9","0","0","0.6","0","0","0.6","-0.25","0.76"
"9","62","0","0","0.8","0","0","0.8","11.3","2.6","20","0","0","0.8","0","0","0.8","-0.37","0.98"
"10","116","0","0","0.4","0","0","0.4","33.6","24.6","42.6","19.8","12.1","27.5","0","0","0.4","0.62","1.01"
"11","98","0","0","0.5","0","0","0.5","28.6","19.1","38","0","0","0.5","0","0","0.5","0.18","0.94"
"12","27","0","0","1.9","0","0","1.9","25.9","7.5","44.3","0","0","1.9","0","0","1.9","0.25","0.88"
"13","9","0","0","5.6","0","0","5.6","44.4","6.4","82.5","0","0","5.6","0","0","5.6","0.99","0.16"
"14","20","0","0","2.5","0","0","2.5","0","0","2.5","0","0","2.5","0","0","2.5","0.15","0.15"
"15","8","0","0","6.3","0","0","6.3","0","0","6.3","0","0","6.3","0","0","6.3","0.59","0.08"
"16","29","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","0","0","1.7","-0.62","0.12"
"17","29","0","0","1.7","0","0","1.7","65.5","46.5","84.5","65.5","46.5","84.5","0","0","1.7","1.35","1.21"
"18","9","0","0","5.6","0","0","5.6","100","94.4","100","44.4","6.4","82.5","0","0","5.6","1.99","0.11"
"19","0", , , , , , , , , , , , , , , , , 
"","Set 3:","Females","","","","","","","","","","","","","","","",""
"","Weight","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","122","12.3","6.1","18.5","13.1","6.7","19.5","0","0","0.4","0","0","0.4","0","0","0.4","-0.92","1.32"
"5","48","31.3","17.1","45.4","31.3","17.1","45.4","0","0","1","0","0","1","0","0","1","-1.89","1.49"
"6","64","0","0","0.8","1.6","0","5.4","0","0","0.8","0","0","0.8","0","0","0.8","-0.36","0.65"
"7","10","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0.15","0.54"
"8","0", , , , , , , , , , , , , , , , , 
"9","0", , , , , , , , , , , , , , , , , 
"10","0", , , , , , , , , , , , , , , , , 
"","Height","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","691","4.5","2.9","6.1","15.1","12.3","17.8","4.5","2.9","6.1","0.6","0","1.2","0","0","0.1","-0.84","1.17"
"5","48","31.3","17.1","45.4","31.3","17.1","45.4","0","0","1","0","0","1","0","0","1","-2.09","1.23"
"6","64","1.6","0","5.4","1.6","0","5.4","0","0","0.8","0","0","0.8","0","0","0.8","-1.01","0.76"
"7","10","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","-0.87","0.81"
"8","0", , , , , , , , , , , , , , , , , 
"9","0", , , , , , , , , , , , , , , , , 
"10","83","0","0","0.6","28.9","18.6","39.3","0","0","0.6","0","0","0.6","0","0","0.6","-1.33","0.9"
"11","106","0","0","0.5","4.7","0.2","9.2","29.2","20.1","38.4","3.8","0","7.9","0","0","0.5","0.26","1.24"
"12","106","0","0","0.5","0","0","0.5","0","0","0.5","0","0","0.5","0","0","0.5","-0.58","0.4"
"13","88","0","0","0.6","0","0","0.6","0","0","0.6","0","0","0.6","0","0","0.6","-0.23","0.57"
"14","21","0","0","2.4","0","0","2.4","0","0","2.4","0","0","2.4","0","0","2.4","-0.17","0.1"
"15","80","12.5","4.6","20.4","51.2","39.7","62.8","0","0","0.6","0","0","0.6","0","0","0.6","-1.59","1.42"
"16","35","14.3","1.3","27.3","51.4","33.4","69.4","0","0","1.4","0","0","1.4","0","0","1.4","-2.04","0.77"
"17","45","0","0","1.1","0","0","1.1","0","0","1.1","0","0","1.1","0","0","1.1","-0.8","0.33"
"18","5","0","0","10","0","0","10","0","0","10","0","0","10","0","0","10","-0.72","0.01"
"19","0", , , , , , , , , , , , , , , , , 
"","BMI","-for-","age","","","","","","","","","","","","","","",""
"Age","N","% < -3 SD","95%","C.I.","% < -2 SD","95%","C.I.","% > +1 SD","95%","C.I.","% > +2 SD","95%","C.I.","% > +3 SD","95%","C.I.","Mean","SD"
"5-19","691","0","0","0.1","7.2","5.2","9.2","25.8","22.4","29.1","12.9","10.3","15.4","5.9","4.1","7.8","0.33","1.48"
"5","48","0","0","1","20.8","8.3","33.4","0","0","1","0","0","1","0","0","1","-0.72","0.95"
"6","64","0","0","0.8","4.7","0","10.6","6.3","0","13","0","0","0.8","0","0","0.8","0.31","0.83"
"7","10","0","0","5","0","0","5","0","0","5","0","0","5","0","0","5","0.88","0.07"
"8","0", , , , , , , , , , , , , , , , , 
"9","0", , , , , , , , , , , , , , , , , 
"10","83","0","0","0.6","0","0","0.6","26.5","16.4","36.6","26.5","16.4","36.6","0","0","0.6","0.3","1.34"
"11","106","0","0","0.5","17.9","10.2","25.7","34.9","25.4","44.5","5.7","0.8","10.5","0","0","0.5","-0.15","1.48"
"12","106","0","0","0.5","0","0","0.5","36.8","27.1","46.4","25.5","16.7","34.2","15.1","7.8","22.4","1.06","1.68"
"13","88","0","0","0.6","0","0","0.6","58","47.1","68.8","34.1","23.6","44.6","28.4","18.4","38.4","1.65","1.31"
"14","21","0","0","2.4","0","0","2.4","0","0","2.4","0","0","2.4","0","0","2.4","-0.1","0.28"
"15","80","0","0","0.6","17.5","8.5","26.5","0","0","0.6","0","0","0.6","0","0","0.6","-0.79","1.13"
"16","35","0","0","1.4","11.4","0","23.4","0","0","1.4","0","0","1.4","0","0","1.4","-0.21","1.03"
"17","45","0","0","1.1","0","0","1.1","44.4","28.8","60.1","8.9","0","18.3","0","0","1.1","0.74","0.98"
"18","5","0","0","10","0","0","10","100","90","100","0","0","10","0","0","10","1.99","0"
"19","0", , , , , , , , , , , , , , , , , 
