AGE,EXP_WEIGHT_MALE,EXP_WEIGHT_FEMALE
0,3.3,3.2
1,4.5,4.2
2,5.6,5.1
3,6.4,5.8
4,7,6.4
5,7.5,6.9
6,7.9,7.3
7,8.3,7.6
8,8.6,7.9
9,8.9,8.2
10,9.2,8.5
11,9.4,8.7
12,9.6,8.9
13,9.9,9.2
14,10.1,9.4
15,10.3,9.6
16,10.5,9.8
17,10.7,10
18,10.9,10.2
19,11.1,10.4
20,11.3,10.6
21,11.5,10.9
22,11.8,11.1
23,12,11.3
24,12.2,11.5
25,12.4,11.7
26,12.5,11.9
27,12.7,12.1
28,12.9,12.3
29,13.1,12.5
30,13.3,12.7
31,13.5,12.9
32,13.7,13.1
33,13.8,13.3
34,14,13.5
35,14.2,13.7
36,14.3,13.9
37,14.5,14
38,14.7,14.2
39,14.8,14.4
40,15,14.6
41,15.2,14.8
42,15.3,15
43,15.5,15.2
44,15.7,15.3
45,15.8,15.5
46,16,15.7
47,16.2,15.9
48,16.3,16.1
49,16.5,16.3
50,16.7,16.4
51,16.8,16.6
52,17,16.8
53,17.2,17
54,17.3,17.2
55,17.5,17.3
56,17.7,17.5
57,17.8,17.7
58,18,17.9
59,18.2,18
